質問,回答,タグ
近隣の教室が認定を取るようです。うちのような小さな教室でも取らないといけませんか？,"認定取得は「義務」ではなく「任意」です。
ただし、認定を受けることで、国が定めた安全基準を満たしていることを示す「認定マーク」を広告等に表示できるようになり、保護者からの信頼獲得につながります。",#基本ルール #事業者向け
認定を取らないと、どうなりますか？,罰則はありませんが、認定を受けた事業者は広告や看板に「認定マーク」を表示できます。逆に、認定を受けていないのに紛らわしい表示をすることは禁止されています。,#基本ルール #事業者向け
個人経営のピアノ教室ですが、私一人でも認定を受けられますか？,"いいえ。
学習塾やスポーツクラブなどの「民間教育事業」が認定を受けるには、指導者等の数が「3人以上」である必要があります。",#基本ルール #事業者向け
スタッフの入れ替わりが激しいので、事務負担に耐えられるか不安です。,申請や確認の手続きは、原則としてオンラインシステム（こども性暴力防止法関連システム）で行います。郵送などの手間を省き、効率的に行えるよう設計されています。,#基本ルール #事業者向け
認定を取るのにお金はかかりますか？,"認定の申請手数料として、1事業あたり30,000円（オンライン申請の場合）がかかりますし、専門家（行政書士等）へ手続きの支援を依頼すれば報酬が発生します。なお、個々のスタッフの犯歴確認（照会）自体には手数料はかかりません。",#基本ルール #事業者向け
認定を取れば、性犯罪は100％防げますか？,100％とは言えませんが、再犯リスクが高い「特定性犯罪前科」のある人を採用段階で排除することが可能となります。また、研修や相談窓口の設置も義務付けられるため、初犯防止の効果が高まります。,#基本ルール #事業者向け
2026年12月からすぐに始めないといけませんか？,"法律の施行は2026年12月25日ですが、民間事業者の認定申請はそれ以降に行います。
準備が整った段階で申請してください。",#基本ルール #事業者向け
フランチャイズに加盟していますが、本部がやればいいですか？,加盟店（教室）ごとに事業者が異なる場合、実際にスタッフを雇用・管理している加盟店オーナー自身が認定を受ける必要があります。本部がまとめて受けるわけではありません。,#基本ルール #事業者向け
共同認定とは何ですか？,事業の委託元（例：自治体）と委託先（例：民間運営会社）が共同で責任を持って認定を受ける仕組みです。役割分担を決めて申請します。,#基本ルール #事業者向け
一度認定を取れば、ずっと有効ですか？,認定自体に有効期限はありませんが、認定基準（研修や体制整備など）を満たし続けているか、国から監督を受けます。基準を満たさなくなれば認定が取り消されることもあります。,#基本ルール #事業者向け
長年働いているベテラン講師に「性犯罪歴を確認したい」とは言いづらいです。,「あなたを疑っている」のではなく、「認定事業者として法律で義務付けられた手続きである」と説明してください。こどもに関わる全員が対象であることを強調しましょう。,#運営 #事業者向け
現職のスタッフにも確認が必要ですか？,はい。認定を受けた日から1年以内に、こどもに関わる現職スタッフ全員の確認を行う必要があります。,#運営 #事業者向け
「プライバシーの侵害だ」と拒否されたらどうすればいいですか？,確認を拒否された場合、そのスタッフをこどもと接する業務に従事させることはできません。配置転換などを検討する必要があります。,#運営 #事業者向け
アルバイトの大学生にも確認が必要ですか？,はい。雇用形態に関わらず、こどもと接する業務（支配性・継続性・閉鎖性がある業務）に就く場合は対象になります。,#運営 #事業者向け
短期のボランティアも対象ですか？,はい。ボランティアであっても、継続的にこどもと接する業務を行う場合は対象となります。,#運営 #事業者向け
犯歴照会のために、スタッフは何を提出すればいいですか？,スタッフ本人が、マイナンバーカード等を使ってオンラインシステムで戸籍情報などを登録します。会社が戸籍謄本を預かる必要はありません（本人が希望すれば経由も可能）。,#運営 #事業者向け
スタッフに費用負担は発生しますか？,犯歴確認自体は無料ですが、戸籍情報の取得費用などがかかる場合があります。トラブル防止のため、費用負担については事前に協議しておくことが望ましいです。,#運営 #事業者向け
過去に遡って、いつまでの犯罪歴がわかりますか？,拘禁刑（懲役・禁錮）が終わってから20年、罰金刑が終わってから10年経過していないものが確認されます。,#運営 #事業者向け
外国籍のスタッフはどうなりますか？,住民票や在留カードなどを提出してもらい確認します。手続きに時間がかかる場合があるため（1?2ヶ月）、早めの対応が必要です。,#運営 #事業者向け
犯歴以外の個人情報も会社に知られてしまいますか？,国から会社に届くのは「犯歴あり/なし」の結果（ありの場合、どのような刑罰を受けたか、いつ確定したかという情報を含む）のみです。それ以外のプライベートな情報（犯行の具体的な内容等）は通知されません。,#運営 #事業者向け
もし「犯歴あり」の通知が来たら、即解雇できますか？,直ちに解雇できるとは限りません。まずは「こどもと接しない業務」への配置転換を検討する義務があります。解雇は最終手段であり、労働法に従って慎重に判断する必要があります。,#ケーススタディ #事業者向け
「犯歴あり」の場合、どんな情報がわかりますか？,どのような罪で、いつ刑が確定したかという情報が通知されます。,#ケーススタディ #事業者向け
配置転換する部署がありません。どうすれば？,配置転換が困難で、他の手段もない場合に限り、解雇や内定取消しが認められる可能性がありますが、弁護士等に相談の上、慎重に対応してください。,#ケーススタディ #事業者向け
本人が「昔のことだ」「反省している」と言ってもダメですか？,ダメです。法律で定められた期間（刑終了後20年等）を経過していない場合は、例外なく対象業務（こどもと接する業務）に従事させることはできません。,#ケーススタディ #事業者向け
結果が出るまで働かせてはいけませんか？,原則は結果が出てからです。ただし、急な欠員など「やむを得ない事情」がある場合は、結果が出る前でも「こどもと1対1にさせない」などの対策を講じれば働かせることができます（いとま特例）。,#ケーススタディ #事業者向け
内定後に「犯歴あり」とわかったら、内定を取り消せますか？,募集要項や誓約書で「性犯罪歴がないこと」を採用条件として明示していれば、内定取消しが可能になるケースがあります。事前の明示が重要です。,#ケーススタディ #事業者向け
「犯歴あり」の情報を、他のスタッフや保護者に伝えてもいいですか？,絶対にいけません。法律で厳しく禁止されており、漏らすと刑事罰（1年以下の拘禁刑など）の対象になります。,#ケーススタディ #事業者向け
結果の通知書（紙）はずっと保管しておくのですか？,いいえ。確認から5年経過後や退職後は、速やかに廃棄・消去しなければなりません。,#ケーススタディ #事業者向け
犯歴はないけれど「不適切な行為（セクハラ等）」をするスタッフはどうすれば？,就業規則で禁止事項を定めておき、指導や懲戒処分を行えるようにしておく必要があります。認定事業者はこうした「不適切な行為」への対処規程を作る義務があります。,#ケーススタディ #事業者向け
犯歴情報を漏らしてしまったらどうなりますか？,直ちに国（こども家庭庁）へ報告しなければなりません。また、本人への損害賠償や刑事罰のリスクが生じる場合もあります。,#ケーススタディ #事業者向け
送迎バスの運転手も対象ですか？,運転手以外に保育士等が同乗していなければ、密室になりやすく、こどもと継続的に接するため、対象業務に含まれます。,#対象範囲 #事業者向け
事務員や受付スタッフは対象ですか？,基本的には対象外ですが、保護者面談中に別室でこどもの面倒を見るなど、こどもと1対1になる業務がある場合は対象になります。,#対象範囲 #事業者向け
外部から来るイベント講師（1日だけ）は対象ですか？,1回きりのゲスト講師などは「継続性」がないため、対象外となる可能性が高いです。,#対象範囲 #事業者向け
警備員や清掃員は？,こどもがいる時間帯に、死角となる場所を巡回するなど接触の機会がある場合は対象となります。,#対象範囲 #事業者向け
夏休みのキャンプなど、短期のイベントはどうなりますか？,6ヶ月以上の期間にわたり複数回開催されるプログラムの一部であれば対象となりますが、単発のイベントであれば対象外となる可能性があります。,#対象範囲 #事業者向け
確認結果が出るのにどれくらいかかりますか？,日本国籍の場合は「2週間から1ヶ月程度」が目安です。外国籍の場合は「1ヶ月から2ヶ月程度」かかります。,#手続き #事業者向け
急にスタッフが辞めて、明日から代わりの人が必要です。間に合いません。,「いとま特例」が使えます。申請は後から（3ヶ月以内）で良いですが、結果が出るまでは「こどもと1対1にさせない」などの制限付きで勤務させることになります。,#手続き #事業者向け
GビズIDとは何ですか？,国の行政サービスにログインするための法人・事業主向けIDです。申請には印鑑証明書などが必要で、取得に数週間かかることもあるため、早めの準備が必要です。,#手続き #事業者向け
パソコンが苦手です。紙で申請できませんか？,原則はオンライン申請です。災害などでシステムが使えない場合などの例外を除き、システム利用が求められます。,#手続き #事業者向け
毎年全員確認するのですか？,いいえ。一度確認すれば、その人が働き続けている限り、次は5年後（の年度末まで）の再確認で大丈夫です。,#手続き #事業者向け
認定を取るメリットは何ですか？,「国のお墨付き」として安全対策をアピールでき、他の教室との差別化になります。保護者が教室を選ぶ際の重要な判断基準になります。,#インセンティブ #事業者向け
認定を取るデメリットは？,犯歴確認の手間やコストがかかるほか、万が一違反すると「認定取消し」として公表され、社会的信用を失うリスクがあります。,#インセンティブ #事業者向け
認定を受けていたのに事件が起きたら、責任を問われますか？,事業者の責任は重大です。しかし、やるべき措置（確認や研修など）を適切に行っていた記録があれば、会社としての義務は果たしていたと説明できます。,#インセンティブ #事業者向け
「不適切な行為」まで管理するのは厳しすぎませんか？,犯罪に至らなくても、密室で2人きりになる等の行為はリスクです。これらを「禁止事項」として明確にルール化することで、スタッフとこどもの双方を守ることにつながります。,#インセンティブ #事業者向け
小規模な事業者にはハードルが高すぎませんか？,確かに負担はかなり大きいですが、小規模だからこそ「先生とこどもの距離が近い」というリスクがあるという見方もできます。安全対策は存続のための投資とも言えます。,#インセンティブ #事業者向け
研修を行う余裕がありません。,国が「研修動画」を作成してくれる予定です（ただし、演習も組み合わせる必要があります）。,#インセンティブ #事業者向け
こどもへの面談やアンケートは必須ですか？,はい、必須です。ただし、未就学児の場合は「日常的な観察」で代えるなど、発達段階に応じた方法で構いません。,#手続き #事業者向け
万が一、情報漏えいが起きたらどうなりますか？,直ちに国へ報告する義務があります。また、原因究明や再発防止策の実施、場合によっては公表も求められます。,#ケーススタディ #事業者向け
認定を取り消されたらどうなりますか？,事業者名や違反内容が公表され、その後2年間は再認定を受けられません。事実上の「退場」に近い重いペナルティです。,#ケーススタディ #事業者向け
結局、準備はいつから始めればいいですか？,法律は2026年12月施行ですが、就業規則の変更やGビズIDの取得、社内ルールの整備には時間がかかります。今から少しずつ検討を始めることをお勧めします。,#インセンティブ #事業者向け
サービス内容について教えて,"認定取得に必要なす
べての準備と申請をサポートいたします。
【日本版DBS対応準備】スタートパッケージプラン
＜サービス内容＞
情報管理規程、児童対象性暴力等対処規程の策定支援
就業規則・雇用契約書等の整備支援（提携社労士連携）
GビズID取得サポート
犯罪事実確認 初回申請サポート（職員10名様分まで）
サービス料金（税別）300,000円

【日本版DBS対応準備】個別サポートプラン
各種規程策定支援：法律が求める2つの必須規程（情報管理規程、児童対象性暴力等対処規程）の策定を支援します。サービス料金（税別）160,000円
就業規則等整備支援：法対応に伴う労務リスクに備え、就業規則や雇用契約書に必要な条項を追加・修正します（提携社労士連携）。サービス料金（税別）100,000円
GビズID取得サポート：DBS関連システムの利用に必須となるGビズIDの取得手続きをサポートします。サービス料金（税別）30,000円
犯罪事実確認申請サポート：国の専用システムを用いた性犯罪歴確認手続きの初期登録と、職員10名様分の申請をサポートします。サービス料金（税別）85,000円（11名以降：5,000円／人）
職員向け安全確保研修：法律で義務付けられた職員向けの研修をオンラインまたは訪問で実施します。（交通費別途）サービス料金（税別）別途お見積り

【日本版DBS認定取得後】運用サポートサブスクプラン

プレミアムプラン～実務フルサポート～：・法改正/ガイドライン情報のメルマガ配信・メール/チャットでの簡易相談（回数無制限）・オンライン個別相談（月1回/60分）・入社・退職時の期限管理と申請代行・年次報告データ整備と入力支援・規程テンプレートの提供と更新サポート。サービス料金（税別）月額　35,000円
スタンダードプラン～情報提供・簡易相談～：・法改正/ガイドライン情報のメルマガ配信・メール/チャットでの簡易相談（回数無制限）サービス料金（税別）月額　10,000円",#サービス
（サービス）認定を取得するにはどのプランを選べばよいですか？,"包括的にサポートを受けたい場合は「スタートパッケージプラン」を推奨します。
特定の課題だけを解決したい場合は「個別サポートプラン」からお選びください。",#サービス
（サービス）料金は表示どおりで確定ですか？　追加費用は？,標準モデル（例：学習塾／講師3?10名／1拠点）を前提とした目安をご提示しています。人数超過、複数拠点、既存規程の大幅改訂、訪問対応などがある場合は追加費用が,#サービス
（サービス）施行日（2026年12月）が近づくと料金に変動がありますか？,施行日が近づくとご相談やご依頼が集中し対応枠が限られるため、料金改定（繁忙期料金）や受付制限を行う可能性があります。早期に着手することで、職員の皆さまへの説明や運用定着を含めて、無理なく進められるものと考えています。,#サービス
（サービス）依頼してから開始までの流れは？,①無料診断（現状と方針の確認）→②見積提示→③ヒアリング→④規程・運用フロー整備→⑤申請準備の順で進めてまいります。個別サポートプランの場合は、目的と範囲を確定した上で該当業務に対応いたします。,#サービス
（サービス）オンライン対応は可能ですか？　訪問対応は可能ですか？,原則オンラインで対応させていただきます。訪問対応も可能ですが、別途交通費等が発生いたします。,#サービス
（サービス）職員数が10名を超える場合はどうなりますか？,超過分は人数・体制に応じて追加見積させていただきます。目安として、申請準備等は11名以降の加算設定をご用意しております（詳細は個別見積）。,#サービス
（サービス）スタートパッケージプランだけで認定申請まで完結するか？,標準的なケースにおいては、準備から認定申請まで完結します。ただし、事業規模・拠点数・既存規程の状況により、追加の整備が必要になることがあります。,#サービス
（サービス）運用サポートサブスクプランはいつから契約すべきか？,認定取得直後、実際の運用が始まるタイミングからスタートさせるのがよろしいかと思います。認定申請が完了した段階で、貴社の体制や状況に応じて、こちらからご提案させていただきます。,#サービス
（サービス）相談したいのだけど、連絡先は？,"次のホームページから、フォームに必要事項をご入力ください。
https://www.kubotahoumu-office.com/contact/",#サービス
（サービス）相談は本当に無料ですか？,はい、初回のオンライン相談（45分間）は完全に無料です。あなたの現状と課題を整理することを目的としており、無理な勧誘は一切行いませんのでご安心ください。,#サービス
（サービス）まだ具体的なプランが決まっていなくても、相談できますか？,もちろんです。「何に困っているか分からない」という状態でも全く問題ありません。お話を伺い、課題を一緒に見つけるところからが、私の仕事です。,#サービス
（サービス）平日の日中は仕事で連絡が取れませんが、大丈夫ですか？,"はい、全く問題ありません。
当事務所では、日中は対応できない時間帯が多いため「平日夜間・土日」に対応させていただいております。その時間帯の中で、ご都合のよろしい時間帯に合わせて打ち合わせを行います。",#サービス
